message,label,scam_type
DHL Express: Parcel from UK held at Mumbai airport. Pay customs duty Rs.599: http://dhl-customs-india.com,1,courier_scam
Axis Bank Alert: KYC documents expired. Upload new documents: http://axisbank-kyc.co.in or visit branch.,1,kyc_scam
"Congratulations! You are selected for work from home job. Earn Rs.50,000/month. Register fee Rs.500 only.",1,job_scam
DTDC Alert: Package detained at customs. Pay duty Rs.199 to release: http://dtdc-customs.in/pay,1,courier_scam
"YES Bank: Your FD matured. Rs.75,000 ready for transfer. Confirm bank details and OTP to receive.",1,bank_impersonation
PhonePe: Rs.500 sent to Raj Kumar (9876543210) successfully. UTR: PPEMAR2024001.,0,legit_banking
"Your PhonePe cashback of Rs.2,500 is ready. Share your UPI PIN to transfer instantly.",1,upi_fraud
"Groww: SIP of Rs.5,000 in Axis Bluechip Fund processed for March. Total invested: Rs.60,000.",0,legit_finance
UIDAI Notice: Your Aadhaar linked bank account requires reverification. OTP: 934821. Confirm now.,1,kyc_scam
Jio Fiber: Your broadband plan renewed for Rs.999/month. Speed: 150Mbps unlimited data active.,0,legit_utility
"HDFC Bank: Suspicious transaction of Rs.45,000 detected. Call 9900112233 to block immediately.",1,bank_impersonation
"PolicyBazaar: Your term insurance premium of Rs.8,500 paid successfully. Policy valid till 2044.",0,legit_finance
"Groww referral bonus: Invest Rs.50,000 and get Rs.25,000 bonus guaranteed. Limited offer today only.",1,investment_scam
Vi: Your number will be deactivated due to non-usage after 15 days. Make a call or recharge to keep active.,0,legit_service
Your OTP for SBI net banking login is 739281. Valid for 10 minutes. Do not share with anyone.,0,legit_banking
"HDFC Bank: Rs.5,000 debited from account XX4521 on 12-Mar. Available balance Rs.23,450. SMS BLOCK to 5676712 if not done by you.",0,legit_banking
ALERT: Your PhonePe account will be deactivated in 24 hours. Update KYC now: http://phonepe-kyc.net,1,upi_fraud
You are the lucky winner of iPhone 15 Pro. Pay shipping Rs.299 to receive: http://apple-lucky-india.com,1,lottery_scam
"CRED: Your credit card payment of Rs.12,500 to HDFC processed. Earned 250 CRED coins.",0,legit_banking
Amazon: Your order for boAt Airdopes has been delivered. Rate your experience on the app.,0,legit_order
You are selected for Google remote job. Salary 80k USD. Pay document processing fee $50 via UPI.,1,job_scam
NPCI Notice: Your UPI account shows suspicious activity. Verify identity: http://npci-secure.net,1,upi_fraud
"Congratulations! Your mobile number won Rs.25,00,000 in KBC lottery. Call Amitabh helpline: 9900887766",1,lottery_scam
"Canara Bank: Rs.1,00,000 credited to your account by mistake. Return via UPI or face legal action.",1,bank_impersonation
MG Motors: Your car service is scheduled for 20-Mar at Whitefield service center. Contact: 1800-XXX-XXXX,0,legit_service
"Stock market tips: Guaranteed profit 200% in 30 days. Join SEBI certified group. Pay Rs.5,000.",1,investment_scam
DigiLocker: Your driving license has been successfully linked. Download at digilocker.gov.in,0,legit_govt
Data entry job available. Earn Rs.800 per hour working from home. Registration: http://jobsindia-wfh.com,1,job_scam
Your Flipkart order #FK-2024-8821 has been shipped. Expected delivery: 14-Mar. Track: flipkart.com/orders,0,legit_order
BSNL: Your broadband bill of Rs.599 for March is due. Pay at bsnl.in or nearest CSC.,0,legit_service
Swiggy: Your order from Dominos is on the way! Delivery in 25 minutes. Track live in the app.,0,legit_order
Zomato: Your order is confirmed! Estimated delivery 35 mins. Track your order in the Zomato app.,0,legit_order
"Google India Lottery: Your Gmail ID won $10,000. Send Aadhaar copy to googleindiareward@gmail.com",1,lottery_scam
"Zerodha: Your order to buy 10 shares of Reliance at Rs.2,450 executed successfully.",0,legit_finance
India Post: Your parcel could not be delivered. Reschedule by paying Rs.50: http://indiapost-rescheduled.com,1,courier_scam
Government job alert: 500 vacancies in Railways. Apply fee Rs.450 here: http://railway-bharti-2024.in,1,job_scam
URGENT: Your SBI account KYC is incomplete. Account will be blocked in 24 hours. Update: http://sbi-kyc.in,1,kyc_scam
"Jio subscriber reward: You won 1 year free recharge worth Rs.3,600. Claim: http://jio-reward-claim.in",1,lottery_scam
Apollo Pharmacy: Your medicine order is ready for pickup at MG Road store. Order ID: APL-8821.,0,legit_service
"BESCOM: Your electricity bill of Rs.2,100 is generated. Due date: 25-Mar. Pay online to avoid disconnection.",0,legit_utility
"Earn 50% monthly returns on crypto investment. Minimum Rs.10,000. Telegram: http://t.me/cryptoprofit_india",1,investment_scam
"UPI fraud alert: Rs.15,000 debited from your account. Call 9876543210 immediately to block.",1,upi_fraud
"IndusInd Bank: Your personal loan approved Rs.5,00,000. Pay processing fee Rs.2,500 to disburse.",1,bank_impersonation
"PM Jan Dhan Yojana: Government investing Rs.50,000 in your account. Activate by sharing Aadhaar.",1,investment_scam
"BSNL Anniversary offer: You won Smart TV worth Rs.45,000. Collect from warehouse, pay GST Rs.999.",1,lottery_scam
PharmEasy: Your medicine subscription delivered. Next delivery on 15-Apr. Manage at pharmeasy.in,0,legit_service
"Dear ICICI customer, your credit card ending 4521 used for Rs.12,500 abroad. Dispute: 8800990011",1,bank_impersonation
Your Google Pay transaction of Rs.9999 failed. Refund OTP: 847291. Share to receive refund immediately.,1,upi_fraud
NSDL: Your PAN card application acknowledged. Acknowledgement No: 881234567. Processing time 15 days.,0,legit_govt
"Your ICICI Bank credit card bill of Rs.8,750 is due on 25th March. Pay now to avoid late fee.",0,legit_banking
