label,message
spam,We tried to reach you. Your claim reference CN35 is still outstanding! Call 0906 6193 569 now.
spam,Final Call! You have a guaranteed prize waiting. Text COLLECT to 81919. No purchase necessary.
ham,Please confirm your attendance for the wedding on Saturday.
spam,Todays Vodafone numbers are 07753741225 0790518728407923526683 07735876493 07752522795 07796823409 Trying to send a txt? Rply with a KWD 2 ths msg 2day
ham,Can you pick up some milk on your way back?
ham,Even my brother is not like to speak with me. They treat me like aids patent.
spam,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
ham,Library books due tomorrow. Don't forget to return them.
spam,Did you hear about the new offer? Claim your free gift now by texting WIN to 80809. T&Cs apply.
ham,Can you send me the notes from yesterday's lecture?
ham,Did you see the new movie? It was amazing!
spam,Free msg: Txt STOP 2 82468 2 stop receiveing free auction alerts. U cn unsubscribe @ any time 4free. Alerts start frm 1st Oct. Max 5/day. CPA: 150p/msg
ham,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575."
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise.
ham,Project submission deadline extended to Friday.
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat..."
ham,U dun say so early hor... U c already then say...
ham,Battery low. Talk later.
ham,Just landed. Will be home in an hour.
spam,Sunshine Quiz! Win a super Sony DVD recorder if you canname the capital of Australia? Text MQUIZ to 82277. B4 Aug 28
spam,Your ringtones are FREE for the first week! Text TONES to 83738. Only £3/week thereafter.
spam,Ur cash-balance is currently 500 pounds - to maximize this call 08719181259 NOW!
spam,FREE: You have 1 VOICE MESSAGE. To collect dial 0906 6475 4284. Calls cost 150p/min.
ham,Festival holiday declared tomorrow. Office closed.
ham,WiFi is down. Call the service provider.
ham,"Nah I don't think he goes to usf, he lives around here though"
ham,Study group at 5 PM in the library. Be there.
spam,Hi! I am Kate. I am looking for a fun partner. Text me back at 84433 to chat. £0.25/msg.
ham,Results out tomorrow. So nervous!
spam,Attention: Your car insurance may be due for renewal. Get a FREE quote today! Call 08000756505
spam,"URGENT! Your Mobile No 07808726822 was awarded a £2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9758 BOX95QU"
ham,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's
ham,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES
ham,Just finished my exam. I think it went well!
ham,Call me when you reach. I'll be waiting outside.
spam,Double your mobile balance! Reply with DOUBLE to 85515 and get 100% credit on your next top-up.
ham,Reached safely. Will call later tonight.
ham,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461
ham,Good morning! Don't forget the team standup at 9.
spam,PRIVATE! Your 2003 Account Statement for 07808247860 shows 800 un-redeemed S.I.M. points. Call 08718738002 Identifier Code: 49557 Expires 23/10/04
spam,As a mobile subscriber you are selected to win £1000 cash or a 4* holiday. Txt WIN to 89938. 150 p/msg 16+
spam,IMPORTANT: Please call 0906 360 1999 immediately regarding your mobile claim. £1.50/min.
spam,Get the hottest wallpapers for your phone! Text WALL to 80839. FREE for first 2 weeks then £3/wk.
spam,Your phone account has been credited £2000. To withdraw text YES to 86688. Expires tonight.
spam,"FREE MESSAGE: Click to claim your lottery winnings of £10,000. Visit: http://uklottery-claim.com"
ham,Your appointment with Dr. Mehta is confirmed for Monday 10 AM.
ham,Did you catch the bus? I'm heading home now.
ham,Ah ok..i noe liao... Ü doing wat now?
